"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
3691,"winding/as if or surname Wan","宛","宛",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=10724","iuen\"
8527,"windlass","轆","辘",,,"lȯ˘"
2759,"wine container","卣","鹵",,,"ieu^"
8752,"wine cup","醆","醆",,,"çan\"
6105,"wine etc or surname Weng","甕","瓮",,,"ung/"
9658,"wine etc/vegetarian diet/study room/building/to give alms (to a monk)","齋","斋",,,"chai¯'"
7123,"wing","翅","翅",,,"chi/"
7124,"wing","翅","翅",,,"chi/'"
7125,"wing","翅","翅",,,"xi/"
7146,"wing/area surrounding the bullseye of a target/to assist/one of the 28 constellations of Chinese astronomy/old variant of 翌 or surname Yi/alternative name for 絳|绛[Jiàng] capital of the Jin State during the Spring and Autumn Period (770-475 BC)","翼","翼",,,"iė˘"
7243,"wings of birds/legs of animals","胑","肢",,,"chi¯"
6718,"winnow basket","箕","箕",,,"ki¯"
2539,"winter","冬","鼕",,,"tung¯"
6774,"wire etc/cage/basket/steamer basket/to cover/to cage/to embrace/to manipulate through trickery or to cover/to cage/covering/also pr. [lóng]","籠","笼",,,"lung\"
6775,"wire etc/cage/basket/steamer basket/to cover/to cage/to embrace/to manipulate through trickery or to cover/to cage/covering/also pr. [lóng]","籠","笼",,,"lung^"
4877,"wisdom/knowledge","智","智",,,"chi/"
2549,"withered","凋","凋",,,"tiao¯"
7480,"with no clear boundary/fig. hazy/indistinct/unclear/confused","茫","茫",,,"mang^"
7481,"with no clear boundary/fig. hazy/indistinct/unclear/confused","茫","茫",,,"mang^"
4739,"with serrated strip across the back","敔","敔",,,"iụ\"
6677,"with wooden pipes stuck into a gourd","笙","笙",,,"seng¯"
6668,"with wooden pipes stuck into a gourd (larger version of 笙[sheng1])","竽","竽",,,"iụ¯"
7951,"wizard","覡","觋",,,"hiė˘"
3589,"woman","婦","妇",,,"fu/"
3545,"woman/concubine/female entertainer (archaic) or surname Ji/family name of the Zhou Dynasty 周代[Zhōu dài] (1046-256 BC)","姬","姬",,,"ki¯"
3525,"woman who looks after small children/(old) female tutor","姆","姆",,,"mu\"
7845,"women's undergarments","衵","衵",,,"jė˘"
5774,"wood charcoal/coal","炭","炭",,,"tan/'"
2255,"wooden figures buried with the dead","俑","俑",,,"iung\"
9510,"woodpecker","鴷","䴕",,,"lie˘"
9515,"woodpidgeon","鵓","鹁",,,"pȯ˘"
5014,"woods/forest/CL:片[piàn]/circle(s) (i.e. specific group of people)/a collection (of similar things) or surname Lin/Japanese surname Hayashi","林","林",,,"lin^"
2904,"woolen material or ""And ...?"""")/particle for inquiring about location (""""Where is ...?"""")/particle signaling a pause","呢","䛏",,,"ni^"
7989,"words/speech/to say/to talk","言","言",,,"in^"
7990,"words/speech/to say/to talk","言","言",,,"ien^"
2194,"worker/workshop/(slang) troublesome/high-maintenance (person) or to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works","作","作",,,"ço˘'"
3245,"workshop/mill/Taiwan pr. [fāng] or surname Fang or lane (usually as part of a street name)/memorial archway","坊","坊",,,"fang^"
3246,"workshop/mill/Taiwan pr. [fāng] or surname Fang or lane (usually as part of a street name)/memorial archway","坊","坊",,,"fang¯"
3852,"work/worker/skill/profession/trade/craft/labor","工","工",,,"kung¯"
8236,"worm-like invertebrate/mythical animal (see 獬豸[xiè zhì])/radical in Chinese characters (Kangxi radical 153)","豸","豸",,,"chi\'"
7666,"wormwood like grass (classical) or surname Xue/vassal state during the Zhou Dynasty (1046-256 BC)","薛","薛",,,"sie˘"
7667,"wormwood like grass (classical) or surname Xue/vassal state during the Zhou Dynasty (1046-256 BC)","薛","薛",,,"pe˘"
2476,"worn fatigued","儽","儽",,,"lui\"
9311,"worn out old horses","駑","驽",,,"nu^"
4206,"worried/afflicted or to laugh at","悝","悝",,,"quei¯"
4207,"worried/afflicted or to laugh at","悝","悝",,,"ly\"
8299,"worthy or virtuous person/honorific used for a person of the same or a younger generation","賢","贤",,,"hien^"
3739,"would rather/to prefer/how (emphatic)/Taiwan pr. [níng] or peaceful/to pacify/to visit (one's parents etc) or abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Níng xià Huí zú Zì zhì qū]/abbr. for Nanjing 南京[Nán jīng]/surname Ning","寧","宁",,,"ning^"
7154,"wrinkled face of the elderly","耇","耇",,,"keu\"
5360,"yak (Bos grunniens)","氂","犛",,,"li^"
8920,"Yama/gate of village/surname Yan","閻","阎",,,"ienˆ"
2380,"Yao tribe","傜","傜",,,"iao^"
5964,"Yao tribe","猺","猺",,,"iao^"
7606,"yarrow (Achillea millefolium)","蓍","蓍",,,"xi¯"
3159,"yeah (interjection of approval)/to belch","噫","噫",,,"yi¯"
3160,"yeah (interjection of approval)/to belch","噫","噫",,,"iai/"
